model,score_column,evaluation_target,split/test_set,threshold,n_samples,predicted_positive_rate,precision,recall,f1,true_positive_rate,false_positive_count,false_negative_count
rule_baseline,silver_label_score,weak_strict,rugcheck_missing_fallback,0.2,2248,1.0,0.0026690391459074734,1.0,0.005323868677905945,0.0026690391459074734,2242,0
rule_baseline,silver_label_score,weak_strict,rugcheck_missing_fallback,0.3,2248,0.9804270462633452,0.0027223230490018148,1.0,0.005429864253393665,0.0026690391459074734,2198,0
rule_baseline,silver_label_score,weak_strict,rugcheck_missing_fallback,0.5,2248,0.45195729537366547,0.005905511811023622,1.0,0.011741682974559686,0.0026690391459074734,1010,0
rule_baseline,silver_label_score,weak_strict,rugcheck_missing_fallback,0.7,2248,0.033807829181494664,0.05263157894736842,0.6666666666666666,0.0975609756097561,0.0026690391459074734,72,2
rule_baseline,silver_label_score,weak_strict,rugcheck_missing_fallback,0.9,2248,0.0,0.0,0.0,0.0,0.0026690391459074734,0,6
old_weak_token_logistic,token_logistic_score,weak_strict,rugcheck_missing_fallback,0.01,2248,0.4679715302491103,0.005703422053231939,1.0,0.011342155009451797,0.0026690391459074734,1046,0
old_weak_token_logistic,token_logistic_score,weak_strict,rugcheck_missing_fallback,0.02,2248,0.45951957295373663,0.005808325266214908,1.0,0.011549566891241578,0.0026690391459074734,1027,0
old_weak_token_logistic,token_logistic_score,weak_strict,rugcheck_missing_fallback,0.05,2248,0.45062277580071175,0.005923000987166831,1.0,0.011776251226692836,0.0026690391459074734,1007,0
old_weak_token_logistic,token_logistic_score,weak_strict,rugcheck_missing_fallback,0.1,2248,0.38033807829181493,0.007017543859649123,1.0,0.013937282229965157,0.0026690391459074734,849,0
old_weak_token_logistic,token_logistic_score,weak_strict,rugcheck_missing_fallback,0.2,2248,0.19261565836298933,0.013856812933025405,1.0,0.02733485193621868,0.0026690391459074734,427,0
old_weak_token_logistic,token_logistic_score,weak_strict,rugcheck_missing_fallback,0.3,2248,0.08540925266903915,0.03125,1.0,0.06060606060606061,0.0026690391459074734,186,0
old_weak_token_logistic,token_logistic_score,weak_strict,rugcheck_missing_fallback,0.5,2248,0.03425266903914591,0.07792207792207792,1.0,0.14457831325301204,0.0026690391459074734,71,0
old_weak_token_logistic,token_logistic_score,weak_strict,rugcheck_missing_fallback,0.7,2248,0.019572953736654804,0.13636363636363635,1.0,0.24,0.0026690391459074734,38,0
old_weak_token_logistic,token_logistic_score,weak_strict,rugcheck_missing_fallback,0.9,2248,0.009786476868327402,0.2727272727272727,1.0,0.42857142857142855,0.0026690391459074734,16,0
old_weak_xgboost_token,token_model_score,weak_strict,rugcheck_missing_fallback,0.01,2248,0.02001779359430605,0.13333333333333333,1.0,0.23529411764705882,0.0026690391459074734,39,0
old_weak_xgboost_token,token_model_score,weak_strict,rugcheck_missing_fallback,0.02,2248,0.0071174377224199285,0.375,1.0,0.5454545454545454,0.0026690391459074734,10,0
old_weak_xgboost_token,token_model_score,weak_strict,rugcheck_missing_fallback,0.05,2248,0.0035587188612099642,0.75,1.0,0.8571428571428571,0.0026690391459074734,2,0
old_weak_xgboost_token,token_model_score,weak_strict,rugcheck_missing_fallback,0.1,2248,0.0026690391459074734,1.0,1.0,1.0,0.0026690391459074734,0,0
old_weak_xgboost_token,token_model_score,weak_strict,rugcheck_missing_fallback,0.2,2248,0.002224199288256228,1.0,0.8333333333333334,0.9090909090909091,0.0026690391459074734,0,1
old_weak_xgboost_token,token_model_score,weak_strict,rugcheck_missing_fallback,0.3,2248,0.0017793594306049821,1.0,0.6666666666666666,0.8,0.0026690391459074734,0,2
old_weak_xgboost_token,token_model_score,weak_strict,rugcheck_missing_fallback,0.5,2248,0.0017793594306049821,1.0,0.6666666666666666,0.8,0.0026690391459074734,0,2
old_weak_xgboost_token,token_model_score,weak_strict,rugcheck_missing_fallback,0.7,2248,0.0017793594306049821,1.0,0.6666666666666666,0.8,0.0026690391459074734,0,2
old_weak_xgboost_token,token_model_score,weak_strict,rugcheck_missing_fallback,0.9,2248,0.0008896797153024911,1.0,0.3333333333333333,0.5,0.0026690391459074734,0,4
graphsage_direct,graphsage_score,weak_strict,rugcheck_missing_fallback,0.01,2248,0.47686832740213525,0.005597014925373134,1.0,0.011131725417439703,0.0026690391459074734,1066,0
graphsage_direct,graphsage_score,weak_strict,rugcheck_missing_fallback,0.02,2248,0.451067615658363,0.005917159763313609,1.0,0.011764705882352941,0.0026690391459074734,1008,0
graphsage_direct,graphsage_score,weak_strict,rugcheck_missing_fallback,0.05,2248,0.4377224199288256,0.006097560975609756,1.0,0.012121212121212121,0.0026690391459074734,978,0
graphsage_direct,graphsage_score,weak_strict,rugcheck_missing_fallback,0.1,2248,0.376779359430605,0.0070838252656434475,1.0,0.01406799531066823,0.0026690391459074734,841,0
graphsage_direct,graphsage_score,weak_strict,rugcheck_missing_fallback,0.2,2248,0.12811387900355872,0.020833333333333332,1.0,0.04081632653061224,0.0026690391459074734,282,0
